Current Title,Description,Complexity
sup456,(QLD) List of Documents - UCPR,Simple
sup441b,(VIC) Supreme/County Court Affidavit by MB Solicitor,Simple
sup092f,(WA version) Letter to treating doctor requesting report - non-Metlife files,Simple
sup230,1st debt recovery letter,Simple
sup232,2nd debt recovery letter,Simple
sup664,AFCA QLD Costs Agreement and Disclosure Notice,Simple
sup629,Authority - Financial Advice Referral,Simple
sup054b,Authority for MB to act - Death Benefit Claim,Simple
sup233b,Authority for MB to deduct superannuation costs from compensation payout (instalments or in full),Simple
sup237,Authority for MB to EFT settlement monies into nominated account,Simple
suplit10,Authority to obtain Medical Report/Records,Simple
suplit64,Calderbank/Offer of Comp letter to client,Simple
suplit65,Calderbank/offer of comp letter to defendant,Simple
suplit011,Case Management Plan,Simple
sup055,Certificate of Medical Practitioner,Simple
sup289,Chasing clients for the return of authorities,Simple
sup028a,Chasing outstanding Costs Agreement - First letter,Simple
sup028d,Chasing outstanding Costs Agreement - Fourth letter,Simple
sup028b,Chasing outstanding Costs Agreement - Second letter,Simple
sup028c,Chasing outstanding Costs Agreement - Third letter,Simple
tac292e,Civil Procedure Act 2010 Overarching Obligations Flyer,Simple
supfc2,Claims Cover Sheet & Checklist,Simple
sup054,Client Authority to Act,Simple
sup059,Client’s Authority to authorised Insurer to release information pursuant to FOI or HR or Privacy Act,Simple
sup057,Client’s Authority to obtain medical reports in relation to PI claims from previous Solicitors,Simple
sup056,Client’s Authority to obtain personal injuries files from previous Solicitors,Simple
sup637,Close File Request - PublicState Trustees,Moderate
sup633,Close file request - Superannuation,Simple
sup282,Complaint letter to Super Fund/Insurer re claim for interest,Simple
sup636,Confirmed Cover -  PublicState Trustees,Moderate
sup632,Confirmed Cover -  Superannuation,Moderate
sup651,Confirming entitlements phone note - call to fund/insurer,Simple
sup630,Confirming Letter to Public Trustee - WA,Simple
sup634,Cost Agreement - TPD via Instalment - All state,Complex
sup617,Costs Agreement and Disclosure Notice - No Win No Fee,Complex
sup609,Costs Agreements Comprehensive NWNF NSW + WA,Complex
sup601,Costs Agreements Comprehensive NWNF SA,Complex
sup610,Costs Agreements Fixed Price Claim + possible Complaint NWNF NSW + WA,Complex
sup613,Costs Agreements Fixed Price Claim + possible Proceedings NWNF NSW + WA,Complex
sup605,Costs Agreements Fixed Price Claim + possible Proceedings NWNF SA,Complex
sup611,Costs Agreements Fixed Price Claim only NWNF NSW + WA,Complex
sup631,Costs Agreements Fixed Price Claim only NWNF QLD,Complex
sup603,Costs Agreements Fixed Price Claim only NWNF SA,Complex
sup604,Costs Agreements Takeover of Claim + possible Complaint NWNF SA,Complex
sup607,Costs Agreements Takeover of Claim + possible Proceedings NWNF SA,Complex
sup015a,"Covering letter to client enclosing cost agreement, TPD certificates and brochure",Simple
sup015b,Covering letter to client re Financial Advice and enclosing Cost Agreement and Authorities,Simple
